,output,task
36,when isn't that so we're leaving from our city. ,when is the next subway leaving from garching?
37,why isn't a connection from our c. for prisons rooms will use lapse. ,what is the next connection from garching forschungszentrum to odeonsplatz?
38,when does in a bus leaves a roman lapse. ,when does the next bus leaves at romanplatz?
39,when does and i was leaving our city. ,when does the next bus leave in garching?
40,when does the bus leaves on our city. ,when does the next bus leaves at garching?
41,can i get from your status and later for. ,how can i get from garching to sendlinger tor?
42,when is the terrain and yours riot calls. ,when is the next train in nordfriedhof
43,is there a grant from charles black to level. ,is there a tram from karlsplatz to lehel?
44,when isn't a bus leaving from our city. ,when is the next bus leaving from garching?
45,one of the terrain in our city for his answer honestly very. ,when the next train in garching forschungszentrum is leaving?
46,when is a reused so we're losing a dollar a day for prisons room. ,when is adrians next subway leaving at garching forschungszentrum?
47,what's it to his way from you relax and let all. ,what's the cheapest way from neuperlach süd to lehel?
48,connection from fall and all who use lapse. ,connection from hauptbahnhof to odeonsplatz?
49,how do i get to do is to rawls to her. ,how do i get to untere straussäcker?
50,when isn't it for a new one surfer ion. ,when is the next train in münchner freiheit?
51,when is the terrain and yours riot off. ,when is the next train in nordfriedhof?
52,when i renew our city for prisons room is leaving. ,"when the next train in garching,forschungszentrum is leaving?"
53,when isn't a user sleazy from our city. ,when is the next u6 leaving from garching?
54,two years we can exit from your seats will use lots. ,can you give me a connection from garching to odeonsplatz?
55,when isn't it rain from you is drying her went to own your seat to surrender. ,"when is the next train from untere straßaecker 21, garching to kieferngarten"
56,when does in a train to hearts wrong when story. ,when does the next train departs from quiddestraße?
57,and i get from our c. to our city. ,how can i get from garchingto garching?
58,can i get from where's the most mastery. ,how can i get from quiddestraße to boltzmannstraße?
59,so can i get from your seat to a halt. ,how can i get from garching to hauptbahnhof?
60,when those under iran's power it's wrong to a halt. ,when does the next tram starts from hauptbahnhof?
61,do you find disorders way from rumsfeld real purchasing. ,can you find the shortest way from moosfeld to milbertshofen?
62,to suffer alone as raw her whence you want to surrender. ,connection from untere straßäcker 21 to kieferngarten
63,why isn't she has connection between equestrian call a halt. ,what is the cheapest connection between quiddestraße and hauptbahnhof?
64,not a new girl outside from our c. for prisons room. ,how can i get to neuperlach süd from garching forschungszentrum?
65,can i get from olympus and from two to a halt. ,how can i get from olympiazentrum to hauptbahnhof?
66,how can i get from our c. for prisons rooms will use lapse. ,how can i get from garching forschungszentrum to odeonsplatz?
67,how can i get from los at r c four present room. ,how can i get from moosach to garching forschungszentrum?
68,when is it for a losing our city. ,when is the train leaving in garching
69,is there a strong will use laps to call a halt at three pm. ,is there a bus from odeonsplatz to hauptbahnhof at 3 pm?
70,when isn't it rains wrongdoers riot on our city for prisons room. ,when is the next train from nordfriedhof to garching forschungszentrum
71,when closer than terrain. ,when comes the next train
72,when does a man has been leaves room for a call. ,when does the next s-bahn leaves from hauptbahnhof?
73,from our c. who ruler. ,from garching to perlach
74,and i get from your seats will use lapse. ,how can i get from garching to odeonsplatz?
75,when doesn't raise our sets and later for. ,when does the next train starts at sendlinger tor?
76,when isn't a range rover on us to ryan for lent you want to surrender. ,when is the next train from untere straßaecker 21 to kieferngarten
77,when does the spry leaves from our c. for present room. ,when does the next rocket leaves from garching forschungszentrum?
78,hey when those under those are set to our city. ,"hey bot, when does the next bus starts at garching?"
79,from your status to him as a. ,from garching to studentenstadt
80,when does a train leaves room will use lapse. ,when does the next train leaves from odeonsplatz?
81,when isn't a rain from our city. ,when is the next train from garching
82,do i get from marion lapse some of our city. ,how do i get from marienplatz zu garching
83,when does the most you're awfully woes are so. ,when does the bus to röblingweg starts?
84,one of the terrain in our c. is leaving. ,when the next train in garching is leaving?
85,when doesn't rain come out our city for prisons room. ,when does the next train come at garching forschungszentrum
86,when can i get a certain areas lapse. ,when can i get a bus at mariahilfplatz?
87,call nine natural fertilizer as you are a star to see our city. ,how can i get from kurt-eisner-straße to garching?
88,when isn't a arrange for our city. ,when is the next train to garching
89,can you tell is a sin to slay from r c four percent room to lead story. ,can you tell me the cheapest way from garching forschungszentrum to quiddestraße?
90,what's the story his way to call and also to use lapse. ,what's the shortest way between hauptbahnhof and odeonsplatz?
91,when will the next two and a car from our c. for prisons room. ,when will the next u-bahn depart from garching forschungszentrum?
92,when isn't a rain. ,when is the next train
93,when isn't a bus in our city for prisons room. ,when is the next bus in garching forschungszentrum
94,the most wrong when story. ,next bus from quiddestraße?
95,and i get from our c. to marion lapse. ,how can i get from garching to marienplatz
96,when does a train leaves wrong when story. ,when does the next train leaves from quiddestraße?
97,not to send later for. ,how can i get to sendlinger tor?
98,when is an eye for a loser you are saying. ,when is the next train leaving in garching
99,call now from the u. s. teresita her whence you want to frighten me. ,how to get from untere strassaecker 21 to frötmaning
0,how can i get from garching forschungszentrum to kurt. ,how can i get from garching forschungszentrum to kurt-eisner-straße?
1,i want to travel from garching to odeonsplatz. ,i want to travel from garching to odeonsplatz?
2,show me the next bus from garching. ,show me the next bus from garching!
3,can you find a bus from quiddestraße to lehel. ,can you find a bus from quiddestraße to lehel?
4,when is the next u six. ,when is the next u6?
5,how can i get from garching to garching. ,how can i get from garching to garching?
6,what's the shortest connection between quiddestraße and odeonsplatz. ,what's the shortest connection between quiddestraße and odeonsplatz?
7,is there a bus from garching to get around five. ,is there a bus from garching to moosach at around 5?
8,i need a connection from paris to previous plans at eight am here. ,i need a connection from harras to karl-preis-platz at 8 am.
9,i need to be in garching at nine. ,i need to be in garching at 9
10,when does the next train leave from garching forschungszentrum. ,when does the next train leave from garching forschungszentrum
11,how can i get from garching to melbourne open. ,how can i get from garching to milbertshofen?
12,can i take a bus from quiddestraße to hauptbahnhof. ,can i take a bus from quiddestraße to hauptbahnhof?
13,could you give me the fastest connection between us in all tidur. ,could you give me the fastest connection between brudermühlstraße and alte heide?
14,when does the next bus leaves from hauptbahnhof. ,when does the next bus leaves from hauptbahnhof?
15,how to get from bonner platz to fry. ,how to get from bonnerplatz to freimann
16,how can i get from neuperlach centrum to carl's platz is fast as possible. ,how can i get from neuperlach zentrum to karlsplatz as fast as possible?
17,can you find a connection from olympia center until two PM. ,can you find a connection from olympiazentrum to lehel at 2 pm?
18,how can i get a quick answer. ,how can i get to quiddestraße?
19,how to get from garching to neuperlach. ,how to get from garching to perlach?
20,show me the next bus from bad. ,show me the next bus from michaelibad.
21,how can i get from garching to munch near freiheit as fast as possible. ,how can i get from garching to münchner freiheit as fast as possible?
22,when does the next subway departs from odeonsplatz. ,when does the next subway departes from odeonsplatz?
23,when is the bus from quiddestraße. ,when is the bus from quiddestraße?
24,when is the next train from garching. ,when is the next train from garching
25,how can i get a male bird show fan from garching. ,how can i get to milbertshofen from garching?
26,when does the next train leaves. ,when does the next train leaves?
27,how to get from untere straw so twenty one. ,how to get from untere strassäcker 21 to frötmaning
28,how can i get to goldsmith from quit us are. ,how can i get to boltzmannstraße from quiddestraße?
29,when is the train leaving in garching. ,when is the train leaving in garching?
30,need to be at hauptbahnhof at one pm can you search a connection from garching forschungszentrum. ,"in need to be at hauptbahnhof at 1 pm, can you search a connection from garching forschungszentrum?"
31,how can i get from garching forschungszentrum to odeonsplatz. ,"how can i get from garching, forschungszentrum to odeonsplatz?"
32,when does the next bus leaves at garching forschungszentrum. ,when does the next bus leaves at garching forschungszentrum?
33,how do i get from olympia and cuffs and rounded health and hos. ,how do i get from olympia einkaufszentrum to hauptbahnhof?
34,is there a train from neuperlach centrum garching at three pm. ,is there a train from neuperlach zentrum to garching at 3 pm?
35,how can i get from garching forschungszentrum. ,how can i get from mossach to garching forschungszentrum?
36,when is the next subway leaving from garching. ,when is the next subway leaving from garching?
37,what is the next connection from garching forschungszentrum to odeonsplatz. ,what is the next connection from garching forschungszentrum to odeonsplatz?
38,when does the next bus leaves at rome and florence. ,when does the next bus leaves at romanplatz?
39,when does the next bus leave in garching. ,when does the next bus leave in garching?
40,when does the next bus leaves at garching. ,when does the next bus leaves at garching?
41,how can i get from garching to send a note or. ,how can i get from garching to sendlinger tor?
42,when is the next train in st. ,when is the next train in nordfriedhof
43,is there a tram from carl's plot still hell. ,is there a tram from karlsplatz to lehel?
44,when is the next bus leaving from garching. ,when is the next bus leaving from garching?
45,when the next train in garching forschungszentrum is leaving. ,when the next train in garching forschungszentrum is leaving?
46,when is adrian the next subway leaving at garching forschungszentrum. ,when is adrians next subway leaving at garching forschungszentrum?
47,what's the cheapest way from neuperlach until the hell. ,what's the cheapest way from neuperlach süd to lehel?
48,connection from hauptbahnhof to odeonsplatz. ,connection from hauptbahnhof to odeonsplatz?
49,how do i get to untere strauss occur. ,how do i get to untere straussäcker?
50,when is the next train in muncher freiheit. ,when is the next train in münchner freiheit?
51,when is the next train to north ryde. ,when is the next train in nordfriedhof?
52,when the next train in garching forschungszentrum is leaving. ,"when the next train in garching,forschungszentrum is leaving?"
53,when is the next u six leaving from garching. ,when is the next u6 leaving from garching?
54,can you give me a connection from garching to odeonsplatz. ,can you give me a connection from garching to odeonsplatz?
55,when is the next train from untere twenty one garching to keep her and garden. ,"when is the next train from untere straßaecker 21, garching to kieferngarten"
56,when does the next train depart from. ,when does the next train departs from quiddestraße?
57,how can i get from garching to garching. ,how can i get from garchingto garching?
58,how can i get from goldsmith. ,how can i get from quiddestraße to boltzmannstraße?
59,how can i get from garching to hauptbahnhof. ,how can i get from garching to hauptbahnhof?
60,when does the next tram starts from hauptbahnhof. ,when does the next tram starts from hauptbahnhof?
61,can you find the shortest way from lewisville to mel brooks show finn. ,can you find the shortest way from moosfeld to milbertshofen?
62,connection from untere twenty one and a keeper and garden. ,connection from untere straßäcker 21 to kieferngarten
63,what is the cheapest connection between quiddestraße and hauptbahnhof. ,what is the cheapest connection between quiddestraße and hauptbahnhof?
64,how can i get to neuperlach sued from garching forschungszentrum. ,how can i get to neuperlach süd from garching forschungszentrum?
65,how can i get from olympia at centrum to help find horse. ,how can i get from olympiazentrum to hauptbahnhof?
66,how can i get from garching forschungszentrum to odeonsplatz. ,how can i get from garching forschungszentrum to odeonsplatz?
67,how can i get from garching forschungszentrum. ,how can i get from moosach to garching forschungszentrum?
68,when is the train leaving in garching. ,when is the train leaving in garching
69,is there a bus from odeonsplatz to hauptbahnhof at three pm. ,is there a bus from odeonsplatz to hauptbahnhof at 3 pm?
70,when is the next train from north korea to garching forschungszentrum. ,when is the next train from nordfriedhof to garching forschungszentrum
71,when comes the next train. ,when comes the next train
72,when does the next bus leaves from hauptbahnhof. ,when does the next s-bahn leaves from hauptbahnhof?
73,from garching to neuperlach. ,from garching to perlach
74,how can i get from garching to odeonsplatz. ,how can i get from garching to odeonsplatz?
75,when does the next train starts at sending a tour. ,when does the next train starts at sendlinger tor?
76,when is the next train from untere twenty one and garden. ,when is the next train from untere straßaecker 21 to kieferngarten
