,output,task
123,can i get the phone and,could i get the phone number and
124,can i get the phone number,could i get the phone number and
125,can i get the phone number and in,could i get the phone number and
126,could i get the phone number number and,could i get the phone number and
127,could i get the phone and,could i get the phone number and
128,could i get the phone number,could i get the phone number and
129,could i get the phone number and in,could i get the phone number and
130,price range,price range
131,price range you,price range
132,thank range,price range
133,price,price range
134,price rang,price range
135,price bye,price range
136,price please,price range
137,bye range,price range
138,priced range,price range
139,thanks range,price range
140,can i get the phone number and price range,could i get the phone number and price range
141,could i get the phone number and price range,could i get the phone number and price range
142,can i get the phone number and price rang,could i get the phone number and price range
143,can i get a phone number and price range,could i get the phone number and price range
144,can i get the phone number plea price range,could i get the phone number and price range
145,can i get the phone number can price range,could i get the phone number and price range
146,could i get the phone number and price rang,could i get the phone number and price range
147,could i get a phone number and price range,could i get the phone number and price range
148,can get the phone number and price range,could i get the phone number and price range
149,i i get the phone number and price range,could i get the phone number and price range
150,a for,any part
151,any for,any part
152,a part,any part
153,a car,any part
154,a four,any part
155,any part,any part
156,any car,any part
157,any four,any part
158,eh for,any part
159,for,any part
160,i don't care about price range,i dont care about the price range
161,i don't care about range,i dont care about the price range
162,i don't care about price price range,i dont care about the price range
163,i don't care about the price range,i dont care about the price range
164,i don't care about the range,i dont care about the price range
165,i don't care about the price price range,i dont care about the price range
166,i i don't care about price range,i dont care about the price range
167,i i don't care about range,i dont care about the price range
168,i i don't care about price price range,i dont care about the price range
169,i i don't care about the price range,i dont care about the price range
170,uh world food,uh world food
171,um world food,uh world food
172,uhm world food,uh world food
173,ah world food,uh world food
174,oh world food,uh world food
175,uh welsh food,uh world food
176,uh uh world food,uh world food
177,world food,uh world food
178,uh world food,uh world food
179,uh world food and,uh world food
180,how about mediterranean food,how about mediterranean food
181,how about a mediterranean food,how about mediterranean food
182,how how about mediterranean food,how about mediterranean food
183,ah about mediterranean food,how about mediterranean food
184,uh about mediterranean food,how about mediterranean food
185,how about mediterranean,how about mediterranean food
186,how about mediterranean food,how about mediterranean food
187,how about mediterranean foods,how about mediterranean food
188,how about mediterranean to,how about mediterranean food
189,how mediterranean food,how about mediterranean food
190,mediterranean food,mediterranean food
191,mediterranean i food,mediterranean food
192,mediterranean mediterranean food,mediterranean food
193,food,mediterranean food
194,mediterranean school,mediterranean food
195,mediterranean of food,mediterranean food
196,mediterranean code,mediterranean food
197,mediterranean full,mediterranean food
198,mediterranean food a,mediterranean food
199,mediterranean a food,mediterranean food
200,any addressess,could i have the addresses
201,any the addressess,could i have the addresses
202,any entrance,could i have the addresses
203,addressess,could i have the addresses
204,any any addressess,could i have the addresses
205,any and addressess,could i have the addresses
206,can addressess,could i have the addresses
207,any i addressess,could i have the addresses
208,in addressess,could i have the addresses
209,any you addressess,could i have the addresses
210,do u,noise
211,u,noise
212,do do,noise
213,do,noise
214,do,noise
215,do good u,noise
216,do u,noise
217,do u you,noise
218,could u,noise
219,do u are,noise
220,what part halal,west part of town
221,what part,west part of town
222,what part it halal,west part of town
223,what part it,west part of town
224,what part that's halal,west part of town
225,what part that's,west part of town
226,what halal,west part of town
227,what,west part of town
228,what part part halal,west part of town
229,what part part,west part of town
230,cheap,cheap
231,see,cheap
232,g,cheap
233,t,cheap
234,tea,cheap
235,cheap cheap,cheap
236,i,cheap
237,is,cheap
238,cheap see,cheap
239,cheap tea,cheap
240,do you have another option anything else,do you have another option anything else
241,you have another option anything else,do you have another option anything else
242,do you have another anything else,do you have another option anything else
243,do you have another option options anything else,do you have another option anything else
244,do you have another option option anything else,do you have another option anything else
245,do you have another uh anything else,do you have another option anything else
246,do you have another option can anything else,do you have another option anything else
247,you have another anything else,do you have another option anything else
248,you have another option options anything else,do you have another option anything else
249,do have another option anything else,do you have another option anything else
250,can i have the phone number,could have the phone number
251,could i have the phone number,could have the phone number
252,i i have the phone number,could have the phone number
253,can have the phone number,could have the phone number
254,could have the phone number,could have the phone number
255,can i have their phone number,could have the phone number
256,i have the phone number,could have the phone number
257,could i have their phone number,could have the phone number
258,can i know the phone number,could have the phone number
259,can i i have the phone number,could have the phone number
260,,hello welcome to the cambridge system
261,i,hello welcome to the cambridge system
262,,hello welcome to the cambridge system
263,well,hello welcome to the cambridge system
264,i,hello welcome to the cambridge system
265,i well,hello welcome to the cambridge system
266,well,hello welcome to the cambridge system
267,for,hello welcome to the cambridge system
268,i well,hello welcome to the cambridge system
269,that,hello welcome to the cambridge system
270,east,east
271,please,east
272,the,east
273,east east,east
274,city,east
275,east,east
276,east,east
277,you,east
278,please east,east
279,do,east
280,expensive,expensive
281,expensive uh,expensive
282,expensive expensive,expensive
283,a,expensive
284,expensive er,expensive
285,expensive or,expensive
286,the,expensive
287,expensive a,expensive
288,i,expensive
289,expensive and,expensive
290,any type,any type
291,type,any type
292,any any type,any type
293,any kind,any type
294,any centre,any type
295,any the type,any type
296,and type,any type
297,city type,any type
298,any time,any type
299,any good,any type
300,can i have the phone number and the type of food,could i have their phone number and the type of food
301,can i have the phone number the type of food,could i have their phone number and the type of food
302,can i have the phone number and and type of food,could i have their phone number and the type of food
303,can have the phone number and the type of food,could i have their phone number and the type of food
304,could i have the phone number and the type of food,could i have their phone number and the type of food
305,can i i have the phone number and the type of food,could i have their phone number and the type of food
306,can i have the phone number and type of food,could i have their phone number and the type of food
307,can have the phone number the type of food,could i have their phone number and the type of food
308,could i have the phone number the type of food,could i have their phone number and the type of food
309,can i i have the phone number the type of food,could i have their phone number and the type of food
310,type of food,type of food
311,type food,type of food
312,type post food,type of food
313,type of code,type of food
314,of food,type of food
315,type steakhouse of food,type of food
316,titles of food,type of food
317,great of food,type of food
318,tight of food,type of food
319,type of for,type of food
320,of the city,system
321,a the city,system
322,of the system,system
323,of buffet city,system
324,of of the city,system
325,don't the city,system
326,of the city,system
327,of the city cheaper,system
328,of the the city,system
329,what's the city,system
330,the centre of town,the center of town
331,to centre of town,the center of town
332,the centre town,the center of town
333,just centre of town,the center of town
334,the of town,the center of town
335,the centre centre of town,the center of town
336,to centre town,the center of town
337,the centre of the town,the center of town
338,can centre of town,the center of town
339,to of town,the center of town
340,spanish,spanish
341,,spanish
342,spanish danish,spanish
343,spanish yes,spanish
344,spanish any,spanish
345,spanish this,spanish
346,spanish is,spanish
347,spanish and,spanish
348,spanish can,spanish
349,spanish range,spanish
350,and phone number,it doesnt matter
351,phone number,it doesnt matter
352,phone number,it doesnt matter
353,the phone number,it doesnt matter
354,and number,it doesnt matter
355,and phone number,it doesnt matter
356,number,it doesnt matter
357,number,it doesnt matter
358,and phone no,it doesnt matter
359,phone number,it doesnt matter
360,could you give me the addressess phone number and post code,could you give the addresses phone number and post code
361,you give me the addressess phone number and post code,could you give the addresses phone number and post code
362,could give me the addressess phone number and post code,could you give the addresses phone number and post code
363,could could you give me the addressess phone number and post code,could you give the addresses phone number and post code
364,uh you give me the addressess phone number and post code,could you give the addresses phone number and post code
365,could okay you give me the addressess phone number and post code,could you give the addresses phone number and post code
366,could you give me the addressess phone number and code,could you give the addresses phone number and post code
367,could you give me the addressess phone number and post post code,could you give the addresses phone number and post code
368,could you give me the addressess phone number the post code,could you give the addresses phone number and post code
369,could you give me the addressess phone number and and post code,could you give the addresses phone number and post code
370,a restaurant in the south part of town that serves mexican food,restaurant in the south part of town that serves mexican food
371,restaurant in the south part of town that serves mexican food,restaurant in the south part of town that serves mexican food
372,the restaurant in the south part of town that serves mexican food,restaurant in the south part of town that serves mexican food
373,what restaurant in the south part of town that serves mexican food,restaurant in the south part of town that serves mexican food
374,a in the south part of town that serves mexican food,restaurant in the south part of town that serves mexican food
375,a restaurant restaurant in the south part of town that serves mexican food,restaurant in the south part of town that serves mexican food
376,a restaurant in the south part of town that mexican food,restaurant in the south part of town that serves mexican food
377,a restaurant in the south part of town that serves serve mexican food,restaurant in the south part of town that serves mexican food
378,a restaurant in the south part of town town that serves mexican food,restaurant in the south part of town that serves mexican food
379,a restaurant in the south part of the that serves mexican food,restaurant in the south part of town that serves mexican food
380,what's the addressess phone number price,whats the addresses phone number and price range
381,what's the addressess phone number of price,whats the addresses phone number and price range
382,what's the addressess phone number priced,whats the addresses phone number and price range
383,what's the addressess phone number the price,whats the addresses phone number and price range
384,what's the addressess phone number if price,whats the addresses phone number and price range
385,what the addressess phone number price,whats the addresses phone number and price range
386,what's is the addressess phone number price,whats the addresses phone number and price range
387,what's the addressess phone number can price,whats the addresses phone number and price range
388,what's the addressess phone number for price,whats the addresses phone number and price range
389,what's the addressess for number price,whats the addresses phone number and price range
390,what's the price range,whats the price range
391,what the price range,whats the price range
392,on the price range,whats the price range
393,well the price range,whats the price range
394,what's price range,whats the price range
395,the price range,whats the price range
396,what price range,whats the price range
397,what's of the price range,whats the price range
398,what of the price range,whats the price range
399,on price range,whats the price range
400,okay thank you,okay thank you
401,okay uh you,okay thank you
402,okay thank u,okay thank you
403,okay thank you uh,okay thank you
404,okay thank you a,okay thank you
405,okay thank,okay thank you
406,okay thankyou you,okay thank you
407,okay if thank you,okay thank you
408,okay ok thank you,okay thank you
409,okay thank you you,okay thank you
410,no,no
411,no ok,no
412,,no
413,hello,no
414,know,no
415,no no,no
416,no a,no
417,uh,no
418,no know,no
419,i,no
420,thank you,no thank you
421,no thank you,no thank you
422,ok thank you,no thank you
423,no ok thank you,no thank you
424,ah thank you,no thank you
425,no ah thank you,no thank you
426,not thank you,no thank you
427,no not thank you,no thank you
428,hello thank you,no thank you
429,hello ok thank you,no thank you
430,ah i'm looking for a restaurant in the centre part of town that serves lebanese food,um im looking for a restaurant in the center part of town that serves lebanese food
431,ah looking for a restaurant in the centre part of town that serves lebanese food,um im looking for a restaurant in the center part of town that serves lebanese food
432,um i'm looking for a restaurant in the centre part of town that serves lebanese food,um im looking for a restaurant in the center part of town that serves lebanese food
433,um looking for a restaurant in the centre part of town that serves lebanese food,um im looking for a restaurant in the center part of town that serves lebanese food
434,ah am looking for a restaurant in the centre part of town that serves lebanese food,um im looking for a restaurant in the center part of town that serves lebanese food
435,um am looking for a restaurant in the centre part of town that serves lebanese food,um im looking for a restaurant in the center part of town that serves lebanese food
436,ah i looking for a restaurant in the centre part of town that serves lebanese food,um im looking for a restaurant in the center part of town that serves lebanese food
437,ah i'm looking for restaurant in the centre part of town that serves lebanese food,um im looking for a restaurant in the center part of town that serves lebanese food
438,ah i'm looking for a a restaurant in the centre part of town that serves lebanese food,um im looking for a restaurant in the center part of town that serves lebanese food
439,ah looking for restaurant in the centre part of town that serves lebanese food,um im looking for a restaurant in the center part of town that serves lebanese food
440,what's the addressess and phone number,whats the addresses and phone number
441,what's the addressess phone number,whats the addresses and phone number
442,what's the addressess and the phone number,whats the addresses and phone number
443,what's the addressess the phone number,whats the addresses and phone number
444,what's the addressess and and phone number,whats the addresses and phone number
445,what's the addressess and and the phone number,whats the addresses and phone number
446,what's the addressess and telephone number,whats the addresses and phone number
447,what's the addressess and of phone number,whats the addresses and phone number
448,what's the addressess addressess and phone number,whats the addresses and phone number
449,what's the their and phone number,whats the addresses and phone number
450,okay thank you bye,okay thank you good bye
451,okay thank you good bye,okay thank you good bye
452,okay thank you goodbye,okay thank you good bye
453,okay thank you good goodbye,okay thank you good bye
454,ok thank you bye,okay thank you good bye
455,ok thank you good bye,okay thank you good bye
456,ok thank you goodbye,okay thank you good bye
457,ok thank you good goodbye,okay thank you good bye
458,okay thank you black,okay thank you good bye
459,okay thank you good black,okay thank you good bye
460,moderately priced restaurant in south part of town,moderately priced restaurant in the south part of town
461,moderately restaurant in south part of town,moderately priced restaurant in the south part of town
462,moderately priced price restaurant in south part of town,moderately priced restaurant in the south part of town
463,moderately moderately priced restaurant in south part of town,moderately priced restaurant in the south part of town
464,a priced restaurant in south part of town,moderately priced restaurant in the south part of town
465,moderately priced restaurant in south part of now,moderately priced restaurant in the south part of town
466,moderately priced restaurant in south of town,moderately priced restaurant in the south part of town
467,moderately priced restaurant and south part of town,moderately priced restaurant in the south part of town
468,uh priced restaurant in south part of town,moderately priced restaurant in the south part of town
469,moderately price restaurant in south part of town,moderately priced restaurant in the south part of town
470,addressess and the phone number,addresses and phone number
471,the addressess and the phone number,addresses and phone number
472,and the phone number,addresses and phone number
473,addressess addressess and the phone number,addresses and phone number
474,the and the phone number,addresses and phone number
475,the addressess addressess and the phone number,addresses and phone number
476,addressess and phone number,addresses and phone number
477,the addressess and phone number,addresses and phone number
478,and phone number,addresses and phone number
479,addressess addressess and phone number,addresses and phone number
480,yes,yes
481,yeah,yes
482,no,yes
483,yes i,yes
484,yes uh,yes
485,yeah i,yes
486,yeah uh,yes
487,,yes
488,yes,yes
489,uh,yes
490,,unintelligible
491,oh,unintelligible
492,ok,unintelligible
493,oh ok,unintelligible
494,of,unintelligible
495,a,unintelligible
496,oh of,unintelligible
497,oh a,unintelligible
498,a ok,unintelligible
499,oh a ok,unintelligible
500,doesn't matter,doesnt matter
501,doesn't matter i,doesnt matter
502,matter,doesnt matter
503,doesn't doesn't matter,doesnt matter
504,doesn't it matter,doesnt matter
505,doesn't uh matter,doesnt matter
506,doesn't matter it,doesnt matter
507,doesn't matter a,doesnt matter
508,doesn't matter uh,doesnt matter
509,does matter,doesnt matter
510,the phone number,does not matter
511,the phone that,does not matter
512,that's phone number,does not matter
513,the phone number,does not matter
514,the all number,does not matter
515,the phone number is,does not matter
516,the pub number,does not matter
517,the town number,does not matter
518,does phone number,does not matter
519,that's phone that,does not matter
520,i don't care,i dont care
521,i i don't care,i dont care
522,i don't care i,i dont care
523,don't care,i dont care
524,i don't care a,i dont care
525,ok i don't care,i dont care
526,i don't care or,i dont care
527,tv i don't care,i dont care
528,i don't here,i dont care
529,a don't care,i dont care
530,brazilian,brazilian
531,,brazilian
532,brazilian who,brazilian
533,who,brazilian
534,who who,brazilian
535,brazilian is,brazilian
536,brazilian in,brazilian
537,brazilian please,brazilian
538,is,brazilian
539,brazilian who is,brazilian
540,gastropub,gastro pub
541,gastro,gastro pub
542,gastropub ok,gastro pub
543,gastropub pub,gastro pub
544,gastropub well,gastro pub
545,gastropub on,gastro pub
546,gastro ok,gastro pub
547,gastropub ok ok,gastro pub
548,gastro pub,gastro pub
549,gastropub to,gastro pub
550,how about moderately price,how about moderately priced
551,how about moderately priced,how about moderately priced
552,about moderately price,how about moderately priced
553,how about a moderately price,how about moderately priced
554,about moderately priced,how about moderately priced
555,how about a moderately priced,how about moderately priced
556,about a moderately price,how about moderately priced
557,i about moderately price,how about moderately priced
558,how a about moderately price,how about moderately priced
559,about a moderately priced,how about moderately priced
560,no,none
561,not,none
562,no,none
563,,none
564,no um,none
565,not,none
566,not um,none
567,,none
568,no um,none
569,um,none
570,portuguese will,portuguese food
571,portuguese school,portuguese food
572,portuguese,portuguese food
573,portuguese will cool,portuguese food
574,portuguese school cool,portuguese food
575,portuguese for,portuguese food
576,portuguese will call,portuguese food
577,portuguese school call,portuguese food
578,portuguese cool,portuguese food
579,portuguese will will,portuguese food
580,portuguese,portuguese
581,portuguese food,portuguese
582,portuguese please,portuguese
583,portuguese cheap,portuguese
584,are,portuguese
585,price,portuguese
586,i,portuguese
587,okay,portuguese
588,a,portuguese
589,portuguese cheap food,portuguese
590,mediterranean,mediterranean
591,uh mediterranean,mediterranean
592,the mediterranean,mediterranean
593,mediterranean,mediterranean
594,mediterranean,mediterranean
595,i mediterranean,mediterranean
596,no,mediterranean
597,mediterranean mediterranean,mediterranean
598,mediterranean uh,mediterranean
599,mediterranean it,mediterranean
600,okay,okay
601,okay okay,okay
602,,okay
603,okay,okay
604,okay i,okay
605,are okay,okay
606,okay,okay
607,okay if,okay
608,okay a,okay
609,uh okay,okay
610,what type of food,what type of food
611,what kind of food,what type of food
612,what type of food,what type of food
613,what type of foods,what type of food
614,what type of food are,what type of food
615,what's type of food,what type of food
616,what kind of food,what type of food
617,what kind of foods,what type of food
618,what kind of food are,what type of food
619,what type of food a,what type of food
620,how about mediterranean,how about mediterranean
621,how about mediterranean mediterranean,how about mediterranean
622,how about a,how about mediterranean
623,how mediterranean,how about mediterranean
624,how long mediterranean,how about mediterranean
625,how how about mediterranean,how about mediterranean
626,how about mediterranean a,how about mediterranean
627,ah about mediterranean,how about mediterranean
628,how about are mediterranean,how about mediterranean
629,about mediterranean,how about mediterranean
630,the addressess,do you got an addresses
631,the addressess addressess,do you got an addresses
632,the the,do you got an addresses
633,addressess,do you got an addresses
634,the addressess,do you got an addresses
635,yes addressess,do you got an addresses
636,the the addressess,do you got an addresses
637,addressess addressess,do you got an addresses
638,the,do you got an addresses
639,the addressess addressess,do you got an addresses
640,korean food,korean food
641,caribbean food,korean food
642,korean food,korean food
643,korean,korean food
644,greek food,korean food
645,korean foods,korean food
646,korean good,korean food
647,korean korean food,korean food
648,korean food,korean food
649,korean there,korean food
650,caribbean,korean
651,,korean
652,every,korean
653,caribbean korean,korean
654,korean,korean
655,every korean,korean
656,caribbean,korean
657,,korean
658,every,korean
659,caribbean,korean
660,addressess,addresses
661,addressess addressess,addresses
662,the,addresses
663,and,addresses
664,i,addresses
665,a,addresses
666,the addressess,addresses
667,uh addressess,addresses
668,ah addressess,addresses
669,and addressess,addresses
670,thank you goodbye,thank you goodbye
671,thank you goodbye bye,thank you goodbye
672,thank you good,thank you goodbye
673,thank you good bye,thank you goodbye
674,thank you you,thank you goodbye
675,thank goodbye,thank you goodbye
676,thank you you bye,thank you goodbye
677,thank goodbye bye,thank you goodbye
678,thank good,thank you goodbye
679,thank good bye,thank you goodbye
680,the moderate price moderate priced restaurant in the north part of town,i need a moderate priced restaurant in the north part of town
681,the the moderate price moderate priced restaurant in the north part of town,i need a moderate priced restaurant in the north part of town
682,the moderate moderate price moderate priced restaurant in the north part of town,i need a moderate priced restaurant in the north part of town
683,the price moderate priced restaurant in the north part of town,i need a moderate priced restaurant in the north part of town
684,the the moderate moderate price moderate priced restaurant in the north part of town,i need a moderate priced restaurant in the north part of town
685,the the price moderate priced restaurant in the north part of town,i need a moderate priced restaurant in the north part of town
686,in the moderate price moderate priced restaurant in the north part of town,i need a moderate priced restaurant in the north part of town
687,in the the moderate price moderate priced restaurant in the north part of town,i need a moderate priced restaurant in the north part of town
688,in the moderate moderate price moderate priced restaurant in the north part of town,i need a moderate priced restaurant in the north part of town
689,in the price moderate priced restaurant in the north part of town,i need a moderate priced restaurant in the north part of town
690,any,any
691,in,any
692,any the,any
693,you,any
694,any mean,any
695,any any,any
696,any need,any
697,,any
698,in the,any
699,do any,any
700,could you give me a restaurant in the west part of town,i need a restaurant in the west part of town
701,can you give me a restaurant in the west part of town,i need a restaurant in the west part of town
702,could you give me restaurant in the west part of town,i need a restaurant in the west part of town
703,could you give p.m. a restaurant in the west part of town,i need a restaurant in the west part of town
704,i you give me a restaurant in the west part of town,i need a restaurant in the west part of town
705,can you give me restaurant in the west part of town,i need a restaurant in the west part of town
706,could you give me a in the west part of town,i need a restaurant in the west part of town
707,could you give me a restaurant restaurant in the west part of town,i need a restaurant in the west part of town
708,can you give p.m. a restaurant in the west part of town,i need a restaurant in the west part of town
709,can you give me a in the west part of town,i need a restaurant in the west part of town
710,i need a restaurant in west part of town,i need a restaurant in the west part of town
711,i need a restaurant the west part of town,i need a restaurant in the west part of town
712,i need restaurant in west part of town,i need a restaurant in the west part of town
713,i need a restaurant in in west part of town,i need a restaurant in the west part of town
714,i any a restaurant in west part of town,i need a restaurant in the west part of town
715,need a restaurant in west part of town,i need a restaurant in the west part of town
716,i need a restaurant west part of town,i need a restaurant in the west part of town
717,i need restaurant the west part of town,i need a restaurant in the west part of town
718,i need a restaurant in the west part of town,i need a restaurant in the west part of town
719,i need restaurant in in west part of town,i need a restaurant in the west part of town
720,thank you restaurant in the west part of town,i need a restaurant in the west part of town
721,thank you a restaurant in the west part of town,i need a restaurant in the west part of town
722,can you restaurant in the west part of town,i need a restaurant in the west part of town
723,thank you restaurant in west part of town,i need a restaurant in the west part of town
724,i you restaurant in the west part of town,i need a restaurant in the west part of town
725,thank need restaurant in the west part of town,i need a restaurant in the west part of town
726,thank you get restaurant in the west part of town,i need a restaurant in the west part of town
727,can you a restaurant in the west part of town,i need a restaurant in the west part of town
728,thank you a restaurant in west part of town,i need a restaurant in the west part of town
729,i you a restaurant in the west part of town,i need a restaurant in the west part of town
730,want matter,uh it doesnt matter
731,want doesn't matter,uh it doesnt matter
732,i want matter,uh it doesnt matter
733,i want doesn't matter,uh it doesnt matter
734,want doesn't doesn't matter,uh it doesnt matter
735,i want doesn't doesn't matter,uh it doesnt matter
736,oh matter,uh it doesnt matter
737,oh doesn't matter,uh it doesnt matter
738,i oh matter,uh it doesnt matter
739,i oh doesn't matter,uh it doesnt matter
740,japanese,japanese
741,i japanese,japanese
742,japanese is,japanese
743,japanese i,japanese
744,japanese a,japanese
745,i japanese is,japanese
746,i japanese i,japanese
747,i japanese a,japanese
748,japanese,japanese
749,i japanese,japanese
750,where,west
751,where it,west
752,where is,west
753,where are,west
754,where what,west
755,,west
756,where a,west
757,where's,west
758,where it are,west
759,it,west
760,i need a restaurant serving corsica food,i need a restaurant serving corsica food
761,i you a restaurant serving corsica food,i need a restaurant serving corsica food
762,i need restaurant serving corsica food,i need a restaurant serving corsica food
763,thank need a restaurant serving corsica food,i need a restaurant serving corsica food
764,i you restaurant serving corsica food,i need a restaurant serving corsica food
765,i need a a restaurant serving corsica food,i need a restaurant serving corsica food
766,thank you a restaurant serving corsica food,i need a restaurant serving corsica food
767,thank need restaurant serving corsica food,i need a restaurant serving corsica food
768,could need a restaurant serving corsica food,i need a restaurant serving corsica food
769,ok need a restaurant serving corsica food,i need a restaurant serving corsica food
770,i need indian food,i need indian food
771,i need a indian food,i need indian food
772,i need the indian food,i need indian food
773,i need it indian food,i need indian food
774,i need to indian food,i need indian food
775,need indian food,i need indian food
776,i need indian food,i need indian food
777,need a indian food,i need indian food
778,i need a indian food,i need indian food
779,need the indian food,i need indian food
780,south,south
781,,south
782,south help,south
783,for south,south
784,south i,south
785,south tell,south
786,south,south
787,south,south
788,a south,south
789,can,south
790,caribbean food,caribbean food
791,food,caribbean food
792,caribbean caribbean food,caribbean food
793,caribbean,caribbean food
794,caribbean food,caribbean food
795,caribbean,caribbean food
796,caribbean european food,caribbean food
797,caribbean to,caribbean food
798,caribbean food there,caribbean food
799,,caribbean food
800,thai food,thai food
801,hi food,thai food
802,thai to,thai food
803,thai,thai food
804,thai food um,thai food
805,thai i food,thai food
806,hi to,thai food
807,thai food,thai food
808,thai do,thai food
809,thai food,thai food
810,bye,thai
811,thai,thai
812,price,thai
813,uh,thai
814,by,thai
815,bye i,thai
816,i,thai
817,thai i,thai
818,ah,thai
819,hi,thai
820,thank you a cheap restaurant in the south part of town,can i get a cheap restaurant in the south part of town
821,thank a cheap restaurant in the south part of town,can i get a cheap restaurant in the south part of town
822,thank you you cheap restaurant in the south part of town,can i get a cheap restaurant in the south part of town
823,thank you a restaurant in the south part of town,can i get a cheap restaurant in the south part of town
824,thank you cheap restaurant in the south part of town,can i get a cheap restaurant in the south part of town
825,thank you a cheap cheap restaurant in the south part of town,can i get a cheap restaurant in the south part of town
826,thank a restaurant in the south part of town,can i get a cheap restaurant in the south part of town
827,thank a cheap cheap restaurant in the south part of town,can i get a cheap restaurant in the south part of town
828,thank you you restaurant in the south part of town,can i get a cheap restaurant in the south part of town
829,thank you a a cheap restaurant in the south part of town,can i get a cheap restaurant in the south part of town
830,the addressess,the addresses
831,addressess,the addresses
832,the addressess,the addresses
833,do addressess,the addresses
834,the the addressess,the addresses
835,yeah addressess,the addresses
836,i addressess,the addresses
837,addressess,the addresses
838,the addressess of,the addresses
839,is addressess,the addresses
840,venetian,venetian
841,,venetian
842,venetian should,venetian
843,venetian need,venetian
844,venetian i,venetian
845,venetian any,venetian
846,venetian the,venetian
847,venetian and,venetian
848,venetian shared,venetian
849,should,venetian
850,vegetarian,vegetarian
851,,vegetarian
852,vegetarian and,vegetarian
853,vegetarian vegetarian,vegetarian
854,vegetarian area,vegetarian
855,vegetarian centre,vegetarian
856,vegetarian thailand,vegetarian
857,and,vegetarian
858,vegetarian vegetarian and,vegetarian
859,vegetarian central,vegetarian
860,asian oriental,asian oriental
861,asian asian oriental,asian oriental
